"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","647","GET /report/room/{id} returns entries for a single room","api","Mon Sep 14 13:43:37 UTC 2026","passed","Mon Sep 14 13:43:37 UTC 2026","occupancy report API","","",""
"","1903","the create-room form exposes the room fields","chromium","Mon Sep 14 13:43:57 UTC 2026","passed","Mon Sep 14 13:43:59 UTC 2026","admin room management","","",""
"","7584","logout leaves the portal for the public site","webkit","Mon Sep 14 13:43:59 UTC 2026","passed","Mon Sep 14 13:44:06 UTC 2026","admin navigation out of the portal","","",""
"","515","logout does not throw on a valid token","api","Mon Sep 14 13:43:30 UTC 2026","passed","Mon Sep 14 13:43:30 UTC 2026","auth API","","",""
"","6278","branding details load from the nav","webkit","Mon Sep 14 13:43:52 UTC 2026","passed","Mon Sep 14 13:43:58 UTC 2026","admin branding page","","",""
"","243","POST /message accepts a contact message","api","Mon Sep 14 13:43:35 UTC 2026","passed","Mon Sep 14 13:43:35 UTC 2026","contact messages API","","",""
"","232","GET /branding exposes hotel name, contact and address","api","Mon Sep 14 13:43:35 UTC 2026","passed","Mon Sep 14 13:43:35 UTC 2026","branding API","","",""
"","4697","message field accepts long text","webkit","Mon Sep 14 13:44:26 UTC 2026","passed","Mon Sep 14 13:44:30 UTC 2026","contact form","","",""
"","1654","rejects login: right user, wrong password","chromium","Mon Sep 14 13:43:48 UTC 2026","passed","Mon Sep 14 13:43:50 UTC 2026","admin login","","",""
"","1875","renders at least one room card","firefox","Mon Sep 14 13:44:11 UTC 2026","passed","Mon Sep 14 13:44:13 UTC 2026","home page navigation","","",""
"","4616","user can open the booking form from a room card","webkit","Mon Sep 14 13:44:19 UTC 2026","passed","Mon Sep 14 13:44:24 UTC 2026","booking flow","","",""
"","7534","admin can create a room and see it listed","webkit","Mon Sep 14 13:44:17 UTC 2026","passed","Mon Sep 14 13:44:25 UTC 2026","admin room management","","",""
"","2754","rejects login: empty password","chromium","Mon Sep 14 13:43:51 UTC 2026","passed","Mon Sep 14 13:43:53 UTC 2026","admin login","","",""
"","236","GET /branding returns numeric map coordinates","api","Mon Sep 14 13:43:35 UTC 2026","passed","Mon Sep 14 13:43:35 UTC 2026","branding API","","",""
"","2282","rejects login: empty username","webkit","Mon Sep 14 13:44:07 UTC 2026","passed","Mon Sep 14 13:44:09 UTC 2026","admin login","","",""
"","683","GET /message/{id} returns the full message body","api","Mon Sep 14 13:43:35 UTC 2026","passed","Mon Sep 14 13:43:36 UTC 2026","contact messages API","","",""
"","416","PUT /room/{id} updates price and type","api","Mon Sep 14 13:43:38 UTC 2026","passed","Mon Sep 14 13:43:38 UTC 2026","room admin CRUD","","",""
"","247","PUT fully updates the booking","api","Mon Sep 14 13:43:31 UTC 2026","passed","Mon Sep 14 13:43:31 UTC 2026","booking CRUD","","",""
"","2601","user can open the booking form from a room card","firefox","Mon Sep 14 13:44:06 UTC 2026","passed","Mon Sep 14 13:44:08 UTC 2026","booking flow","","",""
"","518","GET /report returns dated occupancy entries","api","Mon Sep 14 13:43:36 UTC 2026","passed","Mon Sep 14 13:43:37 UTC 2026","occupancy report API","","",""
"","3200","logout leaves the portal for the public site","chromium","Mon Sep 14 13:43:46 UTC 2026","passed","Mon Sep 14 13:43:49 UTC 2026","admin navigation out of the portal","","",""
"","624","a created message surfaces in the inbox by subject","api","Mon Sep 14 13:43:35 UTC 2026","passed","Mon Sep 14 13:43:36 UTC 2026","contact messages API","","",""
"","1305","rejects login: empty username","chromium","Mon Sep 14 13:43:50 UTC 2026","passed","Mon Sep 14 13:43:51 UTC 2026","admin login","","",""
"","3936","the inbox lists messages","webkit","Mon Sep 14 13:44:11 UTC 2026","passed","Mon Sep 14 13:44:15 UTC 2026","admin message inbox","","",""
"","954","GET /booking returns an array of {bookingid}","api","Mon Sep 14 13:43:33 UTC 2026","passed","Mon Sep 14 13:43:34 UTC 2026","booking list & filter","","",""
"","1655","rejects login: empty username","firefox","Mon Sep 14 13:43:56 UTC 2026","passed","Mon Sep 14 13:43:57 UTC 2026","admin login","","",""
"","1015","login page renders the form","chromium","Mon Sep 14 13:42:59 UTC 2026","passed","Mon Sep 14 13:43:00 UTC 2026","@smoke admin portal","","",""
